Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
A,Agilent Technologiesnc.,$151.35 ,44648250000,1172286,Industrials,Electrical Products
AA,Alcoa Corporation,$48.31 ,8547834441,4103105,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation,$10.07 ,1258750000,7982723,Finance,Business Services
AACG,ATA Creativity Global,$1.46 ,45810303,16385,Consumer Discretionary,Service to the Healthndustry
AACI,Armada Acquisition Corp.,$9.99 ,206943821,1326,Industrials,Consumer Electronics/Appliances
AADI,Aadi Biosciencenc.,$13.37 ,326162714,52000,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Assetnvestment Corp Class A (new),$2.97 ,84249034,40835,Real Estate,Real Estatenvestment Trusts
AAL,American Airlines Groupnc.,$14.33 ,9313079711,20781456,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,$22.90 ,40697995,22911,Finance,Investment Managers
AAME,Atlantic American Corporation,$2.66 ,54178866,2702,Finance,Lifensurance
AAN,Aarons Holdings Companync.,$12.27 ,377676465,229606,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronicsnc.,$2.10 ,59899810,205712,Technology,Semiconductors
AAON,AAONnc.,$77.43 ,4119240150,134135,Industrials,Industrial Machinery/Components
AAP,Advance Auto Partsnc.,$145.53 ,8623193289,1336738,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Applenc.,$142.91 ,2.47768E+12,64727186,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A,$10.08 ,503750000,407,Industrials,Consumer Electronics/Appliances
AAT,American Assets Trustnc.,$27.17 ,1644548885,198324,Real Estate,Real Estatenvestment Trusts
AATC,Autoscope Technologies Corporation,$5.20 ,28120076,23781,Industrials,Industrial Machinery/Components
AAU,Almaden Minerals Ltd.,$0.24 ,32439141,230139,,
AAWW,Atlas Air Worldwide Holdings NEW,$100.55 ,2852020109,167232,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,$39.48 ,3963833217,335279,Finance,Investment Managers
ABB,ABB Ltd,$30.95 ,58031250000,882226,Energy,Electrical Products
ABBV,AbbVienc.,$163.72 ,2.89536E+11,5480495,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation,$169.32 ,34277380557,953509,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,$50.31 ,3489084480,379214,Finance,Major Banks
ABCL,AbCellera Biologicsnc.,$11.51 ,3293015915,1486004,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc,$15.81 ,3624788850,727336,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeuticsnc.,$3.53 ,60630570,320498,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A.,$3.00 ,47224746261,21769891,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Groupnc,$180.44 ,3993688805,145215,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp.,$10.05 ,194292128,56175,Finance,Business Services
ABIO,ARCA biopharmanc.,$2.10 ,30259859,18573,Health Care,Biotechnology:n Vitro &n Vivo Diagnostic Substances
ABM,ABMndustriesncorporated,$45.69 ,3022463863,246774,Consumer Discretionary,Diversified Commercial Services
ABMD,ABIOMEDnc.,$377.95 ,17042212993,672274,Health Care,Medical/Dentalnstruments
ABNB,Airbnbnc. Class A,$93.12 ,55536675532,8380946,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticalsnc.,$5.38 ,220178028,158874,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust,$14.03 ,2406475996,1736929,Real Estate,Real Estatenvestment Trusts
ABSI,Absci Corporation,$2.55 ,235607018,389442,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation,$9.32 ,486937156,117986,,
ABT,Abbott Laboratories,$103.86 ,1.81088E+11,4175718,Health Care,Medical/Dentalnstruments
ABUS,Arbutus Biopharma Corporation,$2.45 ,383344358,958410,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharmanc.,$0.73 ,23821600,16751,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Groupnc.,$42.68 ,939053981,8083,Finance,Investment Bankers/Brokers/Service
ACA,Arcosanc.,$60.85 ,2942370351,201094,Industrials,Engineering & Construction
ACAC,Acri Capital Acquisition Corporation Class A,$10.13 ,109214063,364331,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticalsnc.,$14.90 ,2412771811,883161,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A,$9.97 ,429956250,50969,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A,$10.24 ,328806400,83907,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A,$9.92 ,111649600,40,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabisnc.,$1.21 ,392442425,20322553,Health Care,Pharmaceuticals and Biotechnology
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.60 ,64172400,5690,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accoladenc.,$7.77 ,558965331,527031,Technology,Interactive Media
ACCO,Acco Brands Corporation,$5.82 ,548598589,1141942,Consumer Discretionary,Advertising
ACDC,ProFrac Holding Corp. Class A,$22.44 ,1210837581,295389,Industrials,Metal Fabrications
ACEL,Accel Entertainmentnc. ,$8.29 ,725102077,203270,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeuticsnc.(DE),$1.63 ,26878201,540311,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bionc.,$19.66 ,385136018,567396,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd.,$60.54 ,22392113055,1809802,Finance,Property-Casualtynsurers
ACHC,Acadia Healthcare Companync.,$84.71 ,7706637358,1064850,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc,$1.50 ,61408145,164720,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviationnc. Class A,$2.26 ,549846237,799459,Industrials,Aerospace
ACHV,Achieve Life Sciencesnc.,$2.63 ,47069186,44043,Health Care,Biotechnology:n Vitro &n Vivo Diagnostic Substances
ACI,Albertsons Companiesnc. Class A,$21.07 ,11273847194,2309040,Consumer Staples,Food Chains
ACIU,ACmmune SA,$2.30 ,191851045,101620,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwidenc.,$20.64 ,2319402105,658684,Technology,EDP Services
ACLS,Axcelis Technologiesnc.,$78.04 ,2563506461,455484,Technology,Industrial Machinery/Components
ACLX,Arcellxnc.,$18.99 ,832785428,306997,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM,$85.24 ,11818549867,766109,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Researchnc. Class A,$8.66 ,514926432,710110,Technology,Industrial Machinery/Components
ACN,Accenture plc (Ireland),$285.41 ,1.79831E+11,1920253,Consumer Discretionary,Business Services
ACNB,ACNB Corporation,$37.86 ,322205183,18781,Finance,Major Banks
ACNT,Ascentndustries Co.,$11.35 ,116186363,87166,Industrials,Steel/Iron Ore
ACON,Aclarionnc.,$0.63 ,4925208,97898,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeuticsnc.,$0.57 ,13945567,177774,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdnncome Credit Strategies Fund,$7.05 ,174832710,103651,Finance,Investment Managers
ACQR,Independence Holdings Corp. Class A Ordinary Share,$10.05 ,622985782,17510,Finance,Business Services
ACR,ACRES Commercial Realty Corp.,$9.58 ,83907110,7869,Real Estate,Real Estatenvestment Trusts
ACRE,Ares Commercial Real Estate Corporation,$11.17 ,608124389,1365697,Real Estate,Real Estatenvestment Trusts
ACRO,Acropolisnfrastructure Acquisition Corp. Class A,$9.89 ,426290625,7496,Industrials,Consumer Electronics/Appliances
ACRS,Aclaris Therapeuticsnc.,$15.92 ,1061596401,362417,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRV,Acrivon Therapeuticsnc.,$12.71 ,270212350,13164,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticalsnc.,$2.01 ,14973226,129371,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharmanc. Class A,$0.38 ,16836882,169255,Health Care,Pharmaceuticals and Biotechnology
ACT,Enact Holdingsnc.,$23.85 ,3883796344,129193,Finance,Specialtynsurers
